"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"U8","SMD_SOIC127P602X173-8N","149.6mm","183mm","149.6mm","183mm","152.4mm","181.095mm","T","180.00","BD33KA5WF"
"YO2_4","SMD_HC49_XTAL1140X480X420N","24.4mm","42.2mm","24.4mm","42.2mm","24.4mm","46.85mm","T","270.00","(OPT)Q12.000 MHz HC-49SM SMD"
"YO2_3","SMD_HC49_XTAL1140X480X420N","207.8mm","24.4mm","207.8mm","24.4mm","203.15mm","24.4mm","T","360.00","(OPT)Q12.000 MHz HC-49SM SMD"
"YO2_2","SMD_HC49_XTAL1140X480X420N","225.5mm","207.8mm","225.5mm","207.8mm","225.5mm","203.15mm","T","90.00","(OPT)Q12.000 MHz HC-49SM SMD"
"YO2_1","SMD_HC49_XTAL1140X480X420N","42.2mm","225.6mm","42.2mm","225.6mm","46.85mm","225.6mm","T","180.00","(OPT)Q12.000 MHz HC-49SM SMD"
"YO1_4","SMD_OSC_TA_7x5mm","24.4mm","42.2mm","24.4mm","42.2mm","22.5mm","44.7mm","T","360.00","(OPT)XTAL_TXC 16 MHz"
"YO1_3","SMD_OSC_TA_7x5mm","207.8mm","24.4mm","207.8mm","24.4mm","205.3mm","22.5mm","T","90.00","(OPT)XTAL_TXC 16 MHz"
"YO1_2","SMD_OSC_TA_7x5mm","225.5mm","207.8mm","225.5mm","207.8mm","227.4mm","205.3mm","T","180.00","(OPT)XTAL_TXC 16 MHz"
"YO1_1","SMD_OSC_TA_7x5mm","42mm","225.6mm","42mm","225.6mm","44.5mm","227.5mm","T","270.00","(OPT)XTAL_TXC 16 MHz"
"RO2_4","SMD_0603_RESC1608X55N","26.3mm","42mm","26.3mm","42mm","26.3mm","41.2mm","T","90.00","(OPT)1k"
"RO2_3","SMD_0603_RESC1608X55N","208mm","26.3mm","208mm","26.3mm","208.8mm","26.3mm","T","180.00","(OPT)1k"
"RO2_2","SMD_0603_RESC1608X55N","223.7mm","208.1mm","223.7mm","208.1mm","223.7mm","208.9mm","T","270.00","(OPT)1k"
"RO2_1","SMD_0603_RESC1608X55N","41.9mm","223.7mm","41.9mm","223.7mm","41.1mm","223.7mm","T","360.00","(OPT)1k"
"RO1_4","SMD_0603_RESC1608X55N","18.95mm","32mm","18.95mm","32mm","18.95mm","31.2mm","T","90.00","(OPT)0"
"RO1_3","SMD_0603_RESC1608X55N","218.1mm","19mm","218.1mm","19mm","218.9mm","19mm","T","180.00","(OPT)0"
"RO1_2","SMD_0603_RESC1608X55N","231mm","218mm","231mm","218mm","231mm","218.8mm","T","270.00","(OPT)0"
"RO1_1","SMD_0603_RESC1608X55N","32mm","231mm","32mm","231mm","31.2mm","231mm","T","360.00","(OPT)0"
"QO1_4","SMD_SOT23_SOT95P240X120-3N","21.8mm","32.3mm","21.8mm","32.3mm","20.85mm","31.15mm","T","90.00","(OPT)BSS138"
"QO1_3","SMD_SOT23_SOT95P240X120-3N","217.7mm","21.8mm","217.7mm","21.8mm","218.85mm","20.85mm","T","180.00","(OPT)BSS138"
"QO1_2","SMD_SOT23_SOT95P240X120-3N","228.2mm","217.7mm","228.2mm","217.7mm","229.15mm","218.85mm","T","270.00","(OPT)BSS138"
"QO1_1","SMD_SOT23_SOT95P240X120-3N","32.3mm","228.2mm","32.3mm","228.2mm","31.15mm","229.15mm","T","360.00","(OPT)BSS138"
