Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

YO5        SMD_OSCCF250X320X90-4N   1551.181mil    440.945mil   1551.181mil    440.945mil   1600.394mil    480.315mil  T        270.00 XTAL_TXC 16 MHz_DFN_2.5X3.2MM
Y1         SMD_HC49_XTAL1140X480X420N    3539.37mil   1334.646mil    3539.37mil   1334.646mil   3722.441mil   1334.646mil  T        180.00 XTAL           
U9         SMD_SOIC127P620X160-8N   2700.787mil   1125.992mil   2700.787mil   1125.984mil   2590.551mil   1200.984mil  T          0.00 IC_BD18KA5WF   
U7         SMD_TO254P1542X460-3_4N   3498.578mil   2111.537mil   3546.806mil   2111.537mil   3294.838mil   2211.537mil  T          0.00 L7805CD2T-TR   
U6         SMD_SOIC127P620X160-8N   2952.748mil   1645.669mil   2952.756mil   1645.669mil   2877.756mil   1535.433mil  T         90.00 IC_BD33KA5WF   
U29        SMD_SOIC127P620X160-8N   2700.787mil    716.544mil   2700.787mil    716.535mil   2590.551mil    791.535mil  T          0.00 IC_BD00KA5WF   
U24        SMD_QFN50P600X600X80-43   1362.656mil   3273.216mil   1362.656mil   3273.216mil   1478.798mil   3184.633mil  T        180.00 DB_VALUE       
U20        SMD_QFN50P600X600X80-43    630.372mil   3273.216mil    630.372mil   3273.216mil    746.514mil   3184.633mil  T        180.00 DB_VALUE       
U17        SMD_QFN50P600X600X80-43   2827.223mil   3273.216mil   2827.223mil   3273.216mil   2943.365mil   3184.633mil  T        180.00 DB_VALUE       
U13        SMD_BGA900C80P30X30   1181.102mil   1181.102mil   1181.102mil   1181.102mil    724.409mil   1637.795mil  T          0.00 Minion_99s256  
U10        SMD_QFP50P1200X1200X120-64N   3305.414mil    670.593mil   3305.414mil    670.593mil   3157.776mil    444.215mil  T         90.00 IC_DSPIC33EP256MU806-QFN64
U1         SMD_QFN50P600X600X80-43   2094.939mil   3273.216mil   2094.939mil   3273.216mil   2211.081mil   3184.633mil  T        180.00 DB_VALUE       
R9         SMD_0603_RESC1608X55N   3137.795mil   1059.055mil   3137.795mil   1059.055mil   3137.795mil   1027.559mil  T         90.00 10k            
R7         SMD_0603_RESC1608X55N   1524.073mil   3064.555mil   1524.073mil   3064.555mil   1524.073mil   3033.058mil  T         90.00 100R           
R6         SMD_0603_RESC1608X55N   2366.142mil    456.693mil   2366.142mil    456.693mil   2397.638mil    456.693mil  T        180.00 10k            
