Field=Quantity~Integer~Quantity~21|Field=Designator~String~Designator~82|Field=DB_DESCRIPTION~String~DB_DESCRIPTION~183|Field=DB_PACKAGE~String~DB_PACKAGE~103|Field=DB_T_RANGE~String~DB_T_RANGE~108|Field=DB_PART_NUMBER~String~DB_PART_NUMBER~107|Field=DB_MANUFACTURER_PART~String~DB_MANUFACTURER_PART~186|Field=DB_DATASHEET~String~DB_DATASHEET~210|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Minion_Rev2.PrjPCB|ReportField=ProjectFullPath~D:\AProj\Minion_Rev2\Minion_Rev2.PrjPCB|ReportField=Title~Bill of Materials For Variant [220uF 100uF] of Project [Minion_Rev2.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~402|ReportField=ReportTime~4:45:26 PM|ReportField=ReportDate~12/5/2014|ReportField=ReportDateTime~12/5/2014 4:45:26 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~220uF 100uF|ReportField=Address1~Drawing Type|ReportField=Address2~Address 1|ReportField=Address3~Address 2|ReportField=Address4~Address 3|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~Integrated Micro-Electronics Bulgaria|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~12/5/2014|ReportField=CurrentTime~4:42:10 PM|ReportField=Date~Date|ReportField=DocumentFullPathAndName~D:\AProj\Minion_Rev2\Block.SchDoc|ReportField=DocumentName~Block.SchDoc|ReportField=DocumentNumber~730xxx|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~10/12/2014|ReportField=Organization~Design & Development Department|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=0.70|XCorrection=1.00|YCorrection=1.00|PrintKind=2|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=7|PrintQuality=-4|MediaType=1|DitherType=10|PaperKind=11" x 17"|PrintScaleMode=1|ReportField=ProjectName~Minion_Rev2.PrjPCB|ReportField=Revision~01|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetSize~A3|ReportField=SheetTotal~1|ReportField=Time~Time|ReportField=Title~Title|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~Minion_Rev2.PrjPCB|ReportField=DataSourceFullPath~D:\AProj\Minion_Rev2\Minion_Rev2.PrjPCB
168|C13, C34, C35, C39, C40, C41, C46, C47, C48, C49, C50, C51, C54, C55, C58, C59, C66, C67, C68, C71, C72, C73, C98, C99, C100, C103, C104, C105, C130, C131, C132, C135, C136, C137, C156, C157, C158, C159, C160, C161, C162, C163, C164, C165, C197, C198, C199, C200, C201, C202, C203, C204, C205, C206, C207, C208, C209, C210, C211, C212, C213, C214, C236, C239, C350, C351, C352, C393, C394, C395, C396, C397, C398, C399, C400, C401, C408, C409, C410, C411, C412, C413, C414, C415, C416, C417, C418, C419, C653, C656, C659, C662, C665, C668, C671, C674, C677, C680, C743, C746, C749, C752, C755, C758, C761, C764, C767, C770, C833, C836, C839, C842, C845, C848, C851, C854, C857, C860, C923, C926, C929, C932, C935, C938, C941, C944, C947, C950, C953, C956, C959, C962, C965, C968, C971, C974, C977, C980, C983, C986, C989, C992, C995, C998, C1001, C1004, C1007, C1010, C1013, C1016, C1019, C1022, C1025, C1028, C1031, C1034, C1037, C1040, C1043, C1046, C1049, C1052, C1055, C1058, C1061, C1064, C1067, C1070|C X5R 220uF 20% 6.3V 1210|1210|-55 to 85|CAP000047355|SAMSUNG    CL32A227MQVNNNE|http://john.epiqdesign.com/projects/CIS_Datasheets/CAP_CL32A227MQVNNNE.pdf?rev=1401&sc=0
48|C32, C33, C37, C38, C64, C65, C69, C70, C96, C97, C101, C102, C128, C129, C133, C134, C348, C349, C402, C403, C404, C405, C406, C407, C420, C421, C422, C423, C424, C425, C426, C427, C593, C596, C599, C602, C605, C686, C689, C692, C695, C776, C779, C782, C785, C866, C869, C872|C X5R 100uF 20% 16V 1210|1210|-55 to 85|TMP-2512|YAGEO    CC1210MRX5R7BB107|http://john.epiqdesign.com/projects/CIS_Datasheets/CAP_CC1210MKX5R7BB107_100uF_16V_X5R_1210.pdf?rev=1545&sc=0
25|C5, C6, C7, C8, C9, C17, C232, C289, C291, C293, C294, C303, C304, C305, C306, C307, C309, C315, C322, C594, C595, C597, C601, C608, C616|C X7R 100nF 20% 16V 0603|0603|-55 to 125|CAP000027236|KEMET    C0603C104M4RAC|http://john.epiqdesign.com/projects/CIS_Datasheets/F3102_CE_Kemet.pdf?rev=92&sc=0
24|Q1, Q2, Q5, Q6, Q7, Q8, Q13, Q14, Q17, Q18, Q19, Q20, Q25, Q26, Q29, Q30, Q31, Q32, Q37, Q38, Q41, Q42, Q43, Q44|TRANS AP1RA03GMT-HF-3 PQFN 5x6B|PQFN 5x6B|-55 to 150|TRA000001604|ADVANCED POWER ELECTRONICS CORP      AP1RA03GMT-HF-3|http://john.epiqdesign.com/projects/CIS_Datasheets/MOS_AP1RA03GMT-3.pdf?rev=1404&sc=0
13|J9, J13, J14, J15, J16, J17, J18, J19, J20, J21, J22, J23, J24|Mounting Hole PTH_MTG400_700|||MTH000000030||
12|C1, C2, C12, C15, C20, C21, C52, C53, C84, C85, C116, C117|C X5R 10uF 20% 6.3V 0603|0603|-55 to 85|CAP000043646|KEMET    C0603C106M9PAC|http://john.epiqdesign.com/projects/CIS_Datasheets/F3102_CE_Kemet.pdf?rev=92&sc=0
11|R1, R2, R3, R19, R25, R37, R38, R39, R40, R41, R42|R SMD 0R 5% 1/10W 0603|0603|-55 to 155|RES000006349|YAGEO    RC0603JR-070R|http://john.epiqdesign.com/projects/CIS_Datasheets/PYu-RC0603_51_RoHS_L_4_YAGEO.pdf?rev=138&sc=0
8|C24, C25, C56, C57, C88, C89, C120, C121|C X7R 100nF 20% 16V 0402|0402|-55 to 125|CAP000022751|KEMET    C0402F104M4RAC|http://john.epiqdesign.com/projects/CIS_Datasheets/F3102_CE_Kemet.pdf?rev=92&sc=0
8|C28, C29, C60, C61, C92, C93, C124, C125|C X7R 220nF 10% 25V 0603|0603|-55 to 125|CAP000022968|KEMET    C0603F224K3RAC|http://john.epiqdesign.com/projects/CIS_Datasheets/F3102_CE_Kemet.pdf?rev=92&sc=0
8|D10, D11, D14, D15, D18, D19, D22, D23|D 1N4448HWT SOD523|SOD523|-65 to 150|DDE000001203|Diodes        1N4448HWT|ISHIDDEN=T
