"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"YO2","SMD_OSCCF250X320X90-4N","1314.961mil","3673.228mil","1314.961mil","3673.228mil","1354.331mil","3624.016mil","T","180.00","DB_VALUE"
"Y1","SMD_HC49_XTAL1140X480X420N","4145.669mil","3562.992mil","4145.669mil","3562.992mil","3962.598mil","3562.992mil","T","0.00","4.00MHz HC49/4HSMX"
"U9","SMD_SOIC127P620X160-8N","4149.606mil","2586.622mil","4149.606mil","2586.614mil","4039.37mil","2661.614mil","T","0.00","BD18KA5WF-E2"
"U8","SMD_TO229P991X239-4N_DPAK","4468.504mil","2043.307mil","4468.504mil","2007.874mil","4558.661mil","2171.26mil","T","270.00","MC78M05BDTRKG"
"U6","SMD_SOIC127P620X160-8N","4141.724mil","2059.055mil","4141.732mil","2059.055mil","4066.732mil","1948.819mil","T","90.00","BD33KA5WF-E2"
"U4","SMD_BGA900C80P30X30","2874.016mil","2559.055mil","2874.016mil","2559.055mil","3330.709mil","2102.362mil","T","180.00","DB_VALUE"
"U3","SMD_BGA900C80P30X30","1062.992mil","2559.055mil","1062.992mil","2559.055mil","1519.685mil","2102.362mil","T","180.00","DB_VALUE"
"U29","SMD_SOIC127P620X160-8N","4149.606mil","2870.087mil","4149.606mil","2870.079mil","4039.37mil","2945.079mil","T","0.00","BD00KA5WF-E2"
"U24","SMD_SON45P300X200X80-9N","944.882mil","6405.512mil","944.882mil","6405.512mil","887.795mil","6432.087mil","T","0.00","LTC4449EDCB#TRPBF"
"U23","SMD_SON45P300X200X80-9N","3685.039mil","523.622mil","3685.039mil","523.622mil","3742.126mil","497.047mil","T","180.00","LTC4449EDCB#TRPBF"
"U20","SMD_SON45P300X200X80-9N","1889.764mil","6405.512mil","1889.764mil","6405.512mil","1832.677mil","6432.087mil","T","0.00","LTC4449EDCB#TRPBF"
"U2","SMD_BGA900C80P30X30","1062.992mil","4370.079mil","1062.992mil","4370.079mil","606.299mil","4826.772mil","T","0.00","DB_VALUE"
"U19","SMD_SON45P300X200X80-9N","2740.157mil","523.622mil","2740.157mil","523.622mil","2797.244mil","497.047mil","T","180.00","LTC4449EDCB#TRPBF"
"U16","SMD_SON45P300X200X80-9N","2834.646mil","6405.512mil","2834.646mil","6405.512mil","2777.559mil","6432.087mil","T","0.00","LTC4449EDCB#TRPBF"
"U15","SMD_SON45P300X200X80-9N","1795.276mil","523.622mil","1795.276mil","523.622mil","1852.362mil","497.047mil","T","180.00","LTC4449EDCB#TRPBF"
"U13","SMD_BGA900C80P30X30","2874.016mil","4370.079mil","2874.016mil","4370.079mil","2417.323mil","4826.772mil","T","0.00","DB_VALUE"
"U12","SMD_SON45P300X200X80-9N","3779.528mil","6405.512mil","3779.528mil","6405.512mil","3722.441mil","6432.087mil","T","0.00","LTC4449EDCB#TRPBF"
"U11","SMD_SON45P300X200X80-9N","850.394mil","523.622mil","850.394mil","523.622mil","907.48mil","497.047mil","T","180.00","LTC4449EDCB#TRPBF"
"U10","SMD_QFP50P1200X1200X120-64N","4294.852mil","4064.169mil","4294.852mil","4064.169mil","4442.49mil","4290.547mil","T","270.00","dsPIC33EP256MU806"
"R6","SMD_0603_RESC1608X55N","3736.22mil","4318.898mil","3736.22mil","4318.898mil","3736.22mil","4350.394mil","T","270.00","10k"
"R42","SMD_0603_RESC1608X55N","3346.457mil","3173.228mil","3346.457mil","3173.228mil","3346.457mil","3204.724mil","T","270.00","0R"
"R41","SMD_0603_RESC1608X55N","1535.433mil","3173.228mil","1535.433mil","3173.228mil","1535.433mil","3204.724mil","T","270.00","0R"
"R40","SMD_0603_RESC1608X55N","2905.512mil","3157.48mil","2905.512mil","3157.48mil","2905.512mil","3188.976mil","T","270.00","0R"
"R39","SMD_0603_RESC1608X55N","1094.488mil","3157.48mil","1094.488mil","3157.48mil","1094.488mil","3188.976mil","T","270.00","0R"
"R38","SMD_0603_RESC1608X55N","606.299mil","3771.654mil","606.299mil","3771.654mil","606.299mil","3740.157mil","T","90.00","0R"
"R37","SMD_0603_RESC1608X55N","1031.496mil","3771.654mil","1031.496mil","3771.654mil","1031.496mil","3740.157mil","T","90.00","0R"
"R34","SMD_1206_RESC3216X65N","4220.472mil","2322.835mil","4220.472mil","2322.835mil","4279.528mil","2322.835mil","T","180.00","2R"
"R33","SMD_0603_RESC1608X55N","4220.472mil","2401.575mil","4220.472mil","2401.575mil","4188.976mil","2401.575mil","T","0.00","0R"
"R32","SMD_0603_RESC1608X55N","4157.48mil","3157.48mil","4157.48mil","3157.48mil","4157.48mil","3125.984mil","T","90.00","10k"
"R31","SMD_0603_RESC1608X55N","3838.583mil","4007.874mil","3838.583mil","4007.874mil","3807.087mil","4007.874mil","T","0.00","10k"
"R3","SMD_0603_RESC1608X55N","968.504mil","3259.843mil","968.504mil","3259.843mil","968.504mil","3291.339mil","T","270.00","0R"
"R28","SMD_0603_RESC1608X55N","3901.575mil","2917.323mil","3901.575mil","2917.323mil","3901.575mil","2885.827mil","T","90.00","10k"
"R27","SMD_0603_RESC1608X55N","3964.567mil","2917.323mil","3964.567mil","2917.323mil","3964.567mil","2948.819mil","T","270.00","2k"
"R26","SMD_0603_RESC1608X55N","3346.457mil","3673.228mil","3346.457mil","3673.228mil","3346.457mil","3641.732mil","T","90.00","10k"
"R25","SMD_0603_RESC1608X55N","2417.323mil","3771.654mil","2417.323mil","3771.654mil","2417.323mil","3740.157mil","T","90.00","0R"
"R2","SMD_0603_RESC1608X55N","1157.48mil","3637.795mil","1157.48mil","3637.795mil","1157.48mil","3669.291mil","T","270.00","0R"
"R19","SMD_0603_RESC1608X55N","2842.52mil","3771.654mil","2842.52mil","3771.654mil","2842.52mil","3740.157mil","T","90.00","0R"
"R15","SMD_1206_RESC3216X65N","4074.803mil","2350.394mil","4074.803mil","2350.394mil","4074.803mil","2409.449mil","T","270.00","0R"
"R13","SMD_1206_RESC3216X65N","4629.921mil","2370.079mil","4629.921mil","2370.079mil","4629.921mil","2311.024mil","T","90.00","100R"
